São Paulo;12252023
Guarulhos;1379182
Campinas;1204073
São Bernardo do Campo;838936
São José dos Campos;721944
Santo André;718773
Ribeirão Preto;703293
Osasco;698418
Sorocaba;679378
Mauá;472912
São José do Rio Preto;460671
Mogi das Cruzes;445842
Santos;433311
Diadema;423884
Jundiaí;418962
Piracicaba;404142
Carapicuíba;400927
Bauru;376818
Itaquaquecetuba;370821
São Vicente;365798
Franca;353187
Praia Grande;325073
Guarujá;320459
Taubaté;314924
Limeira;306114
Suzano;297637
Taboão da Serra;289664
Sumaré;282441
Barueri;274182
Embu das Artes;273726
São Carlos;251983
Indaiatuba;251627
Cotia;249210
Americana;239597
Marília;238882
Itapevi;237700
Araraquara;236072
Jacareí;233662
Hortolândia;230851
Presidente Prudente;228743
Rio Claro;206424
Araçatuba;197016
Ferraz de Vasconcelos;194276
Santa Bárbara d'Oeste;193475
Francisco Morato;175844
Itapecerica da Serra;175693
Itu;173939
Bragança Paulista;168668
Pindamonhangaba;168328
Itapetininga;163901
São Caetano do Sul;161127
Franco da Rocha;154489
Mogi Guaçu;151888
Jaú;150252
Botucatu;146497
Atibaia;142761
Santana de Parnaíba;139447
Araras;134236
Cubatão;130705
Valinhos;129193
Sertãozinho;125815
Jandira;124937
Birigüi;123638
Ribeirão Pires;123393
Votorantim;122480
Barretos;122098
Catanduva;121862
Várzea Paulista;121838
Guaratinguetá;121798
Tatuí;121766
Caraguatatuba;121532
Itatiba;120858
Salto;118663
Poá;117452
Ourinhos;113542
Paulínia;109424
Assis;104386
Leme;103391
Itanhaém;101816
Caieiras;101470
Mairiporã;100179
Votuporanga;94547
Itapeva;94354
Caçapava;94263
Mogi Mirim;93189
São João da Boa Vista;91211
São Roque;91016
Ubatuba;90799
Avaré;90655
Arujá;89824
São Sebastião;88980
Lorena;88706
Campo Limpo Paulista;84650
Matão;83170
Cruzeiro;82238
Ibiúna;78878
Vinhedo;78728
Lins;78013
Bebedouro;77496
Jaboticabal;77263
Cajamar;76801
Pirassununga;76409
Itapira;74773
Cosmópolis;72252
Amparo;72195
Embu-Guaçu;69385
Fernandópolis;69116
Mococa;68885
Lençóis Paulista;68432
Peruíbe;68284
Tupã;65524
Penápolis;63407
Bertioga;63249
Batatais;62508
Itupeva;61252
Boituva;60997
Nova Odessa;60174
Ibitinga;60033
Mirassol;59824
Monte Mor;59772
Jaguariúna;57488
Santa Isabel;57386
Taquaritinga;57177
Andradina;57157
Mongaguá;56702
Registro;56322
Porto Ferreira;56150
Capivari;55768
Piedade;55348
São José do Rio Pardo;54946
Olímpia;54772
Artur Nogueira;54408
Porto Feliz;53098
Vargem Grande Paulista;52597
Campos do Jordão;52088
São Joaquim da Barra;51888
Rio Grande da Serra;50846
Itararé;50503
Monte Alto;50498
Pontal;49961
Cabreúva;49707
Jales;49107
Cerquilho;48949
Louveira;48885
Pedreira;47919
Santa Cruz do Rio Pardo;47673
Tremembé;47185
Mairinque;47150
Capão Bonito;47138
Dracena;46793
Pederneiras;46687
Paraguaçu Paulista;45703
Salto de Pirapora;45422
Serrana;45107
Garça;44390
Jardinópolis;44380
Espírito Santo do Pinhal;44330
Presidente Epitácio;44200
Orlândia;44028
Itápolis;43120
Vargem Grande do Sul;42845
Tietê;42076
Ituverava;41824
Novo Horizonte;41052
Socorro;41005
São Manuel;40954
Guaíra;40790
Américo Brasiliense;40504
Promissão;40432
Guariba;40105
Pitangueiras;39719
Presidente Venceslau;39516
Agudos;37214
Iperó;37133
José Bonifácio;37015
Aguaí;36305
Aparecida;36157
Barra Bonita;36126
São Pedro;35653
Cravinhos;35292
Bariri;35264
Rio das Pedras;35228
Ibaté;35104
Adamantina;35068
Ilhabela;34970
Santa Cruz das Palmeiras;34361
Araçoiaba da Serra;34146
Descalvado;33718
Cachoeira Paulista;33327
Morro Agudo;32968
Guararapes;32939
São Miguel Arcanjo;32931
Osvaldo Cruz;32879
Barrinha;32812
Biritiba Mirim;32598
Santa Fé do Sul;32322
Juquitiba;31444
Cândido Mota;31280
Iguape;30857
Igarapava;30432
Casa Branca;30380
Jarinu;30044
Piraju;29806
Guararema;29798
Rancharia;29707
Mirandópolis;29564
Serra Negra;29229
Pilar do Sul;29185
Cajati;28549
Laranjal Paulista;28516
Conchal;28050
Santa Rita do Passa Quatro;27557
Pirapozinho;27527
Dois Córregos;27315
Piracaia;27303
Itaí;27125
Santa Gertrudes;26898
Ilha Solteira;26686
Santa Rosa de Viterbo;26540
Valparaíso;26480
Martinópolis;26461
Cajuru;26167
Tanabi;25967
Pereira Barreto;25669
Pirajuí;25492
Bom Jesus dos Perdões;25448
Angatuba;25228
Monte Aprazível;25087
Brodowski;24939
Álvares Machado;24915
Igaraçu do Tietê;24674
Potim;24643
Cordeirópolis;24528
Brotas;24403
Apiaí;24374
Iracemápolis;24235
Santo Antônio de Posse;23310
Taquarituba;23218
Tambaú;23207
